id,budget,revenue,release_year,keywords
12484,5000000,0,2001,original
35583,0,0,2001,original
9683,0,0,2001,original
12900,0,0,2001,original
20794,6000000,2025238,2001,original
16723,11000000,13276953,2001,original
36269,0,0,2001,original
11380,10000000,7316658,2001,original
1282,0,0,2001,original
26475,0,0,2001,original
13408,7000000,10229331,2001,original
19058,15000000,163169,2001,original
10836,4800000,0,2001,original
21997,0,0,2001,original
34205,0,0,2001,original
35703,0,0,2001,original
35831,0,0,2001,original
17612,0,0,2001,based on novel
16161,16000000,29381649,2001,original
3003,0,0,2001,original
2029,0,0,2001,original
18828,0,0,2001,original
30140,0,0,2001,original
155,185000000,1001921825,2008,original
10681,180000000,521311860,2008,original
1726,140000000,585174222,2008,original
8681,25000000,226830568,2008,original
217,185000000,786636033,2008,original
8966,37000000,392616625,2008,original
10764,200000000,586090727,2008,original
9502,130000000,631744560,2008,original
13523,19000000,18755936,2008,original
11631,52000000,609841637,2008,original
4922,150000000,333932083,2008,original
1724,150000000,163712074,2008,original
13223,33000000,269958228,2008,original
10527,150000000,603900354,2008,original
11253,85000000,160388063,2008,original
8247,85000000,222231186,2008,based on novel
88751,45000000,101702060,2008,original
8909,75000000,258270008,2008,original
13179,48000000,0,2008,original
12405,15000000,377910544,2008,original
2253,75000000,200276000,2008,original
7840,105000000,266000000,2008,original
8960,150000000,624029371,2008,original
12162,15000000,42000000,2008,original
9029,35000000,170000000,2008,original
2454,225000000,419651413,2008,original
7446,92000000,188072649,2008,original
13027,80000000,178066569,2008,original
14574,12500000,20416563,2008,original
7555,50000000,113244290,2008,original
10483,45000000,73762516,2008,original
8328,23000000,150816700,2008,original
10200,80000000,233093859,2008,original
11127,9000000,0,2008,original
11321,55000000,168167691,2008,original
7191,25000000,170764026,2008,original
13053,150000000,309979994,2008,original
9870,30000000,105173115,2008,original
6972,130000000,49554002,2008,original
10201,70000000,225990978,2008,original
14306,60000000,244082376,2008,based on novel
12113,70000000,113280098,2008,original
4944,37000000,163720069,2008,original
6557,30000000,160259319,2008,original
2309,60000000,57490374,2008,original
8065,35000000,69823199,2008,original
8848,20000000,64822796,2008,original
12133,65000000,128107642,2008,original
8390,0,55447968,2008,original
8676,70000000,111231041,2008,original
8456,20000000,41627431,2008,original
10189,27000000,101624843,2008,original
12163,6000000,44703995,2008,original
10202,80000000,212874442,2008,original
13056,20500000,10089373,2008,original
13051,35000000,85416905,2008,original
7461,40000000,151161491,2008,original
10358,24000000,42105111,2008,original
11665,80000000,230685453,2008,original
15373,28000000,92380927,2008,original
13486,0,0,2008,original
11499,0,0,2008,original
11887,0,0,2008,original
8055,32000000,0,2008,original
9381,70000000,72108608,2008,original
19173,0,0,2008,original
8321,15000000,32002538,2008,original
3580,55000000,113020255,2008,original
8204,90000000,162839667,2008,original
13335,12000000,43493123,2008,original
13401,0,22707064,2008,original
13971,0,0,2008,original
13012,2900000,0,2008,original
15854,0,0,2008,original
1266,20000000,65569869,2008,original
12182,9000000,32973937,2008,original
12193,80000000,163733697,2008,original
15157,5000000,0,2008,original
13001,7000000,8900000,2008,original
12620,25000000,70442940,2008,original
13042,0,0,2008,original
12180,8500000,68282844,2008,original
12177,62000000,41819064,2008,original
7459,120000000,93945766,2008,original
5038,15000000,96408652,2008,original
12222,85000000,297138014,2008,original
12783,0,0,2008,original
10503,0,18130888,2008,original
1729,55000000,127906624,2008,original
13413,0,0,2008,original
6687,15000000,5926410,2008,original
